seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
44,1,in_sample,f1_f2_f3,64,0.625,0.625,0.6156156156156156,0.749168556054704
44,1,inner_oof,f1,64,0.46875,0.46875,0.4682306940371457,0.6944126762678253
44,1,inner_oof,f2,64,0.578125,0.578125,0.5730170496664195,0.6854808241737593
44,1,inner_oof,f3,64,0.65625,0.65625,0.6476476476476476,0.6660330707625329
44,1,inner_oof,f1_f2,64,0.5625,0.5625,0.5555555555555556,0.6868179658567922
44,1,inner_oof,f1_f3,64,0.578125,0.578125,0.5599694423223835,0.6680722540132626
44,1,inner_oof,f2_f3,64,0.609375,0.609375,0.5974842767295597,0.6581589923689505
44,1,inner_oof,f1_f2_f3,64,0.640625,0.640625,0.6362737830491723,0.6601712657606236
44,2,in_sample,f1,64,0.484375,0.484375,0.47813194959229055,0.7542776702566428
44,2,in_sample,f2,64,0.609375,0.609375,0.6085148030340103,0.6883123551558434
44,2,in_sample,f3,64,0.625,0.625,0.6235294117647059,0.7271186592457147
44,2,in_sample,f1_f2,64,0.578125,0.578125,0.577195987276731,0.7043787872077981
44,2,in_sample,f1_f3,64,0.609375,0.609375,0.6069761729304839,0.7412265264578652
44,2,in_sample,f2_f3,64,0.609375,0.609375,0.6092796092796093,0.6854212169923483
44,2,in_sample,f1_f2_f3,64,0.640625,0.640625,0.6405372405372405,0.6829299476744886
44,2,inner_oof,f1,64,0.484375,0.484375,0.45440454662877805,0.6985460746376283
44,2,inner_oof,f2,64,0.625,0.625,0.6216748768472906,0.6723664259207177
44,2,inner_oof,f3,64,0.59375,0.59375,0.5901477832512315,0.6578158891991521
44,2,inner_oof,f1_f2,64,0.59375,0.59375,0.5901477832512315,0.677641758790694
44,2,inner_oof,f1_f3,64,0.59375,0.59375,0.5901477832512315,0.6579514033603618
44,2,inner_oof,f2_f3,64,0.59375,0.59375,0.5901477832512315,0.6442497678586516
44,2,inner_oof,f1_f2_f3,64,0.609375,0.609375,0.6069761729304839,0.6425751460740237
44,3,in_sample,f1,63,0.4603174603174603,0.46068548387096775,0.46018145161290325,0.7232061577930154
44,3,in_sample,f2,63,0.5873015873015873,0.5866935483870968,0.5863636363636364,0.7554527584813641
44,3,in_sample,f3,63,0.6349206349206349,0.6360887096774194,0.6334429547179358,0.8788457335374513
44,3,in_sample,f1_f2,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.7559771156523541
44,3,in_sample,f1_f3,63,0.6349206349206349,0.6360887096774194,0.6334429547179358,0.8885967578666442
44,3,in_sample,f2_f3,63,0.6031746031746031,0.6033266129032258,0.6031746031746031,0.8591322991900778
44,3,in_sample,f1_f2_f3,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.8538930943042469
44,3,inner_oof,f1,63,0.5873015873015873,0.5856854838709677,0.5821428571428571,0.6935727905605751
44,3,inner_oof,f2,63,0.6031746031746031,0.6023185483870968,0.6015684290412345,0.6872369244194642
44,3,inner_oof,f3,63,0.6349206349206349,0.6360887096774194,0.6334429547179358,0.6938224636365833
44,3,inner_oof,f1_f2,63,0.6190476190476191,0.6179435483870968,0.6166328600405679,0.6875631880058862
44,3,inner_oof,f1_f3,63,0.5396825396825397,0.5398185483870968,0.5396825396825397,0.6955408409261912
44,3,inner_oof,f2_f3,63,0.6349206349206349,0.6355846774193548,0.6345523329129887,0.6916893168102312
44,3,inner_oof,f1_f2_f3,63,0.5873015873015873,0.5877016129032258,0.5871975806451613,0.6918739170029906
44,4,in_sample,f1,63,0.5714285714285714,0.5705645161290323,0.5696939033645332,0.6932132927718668
44,4,in_sample,f2,63,0.5396825396825397,0.5408266129032258,0.537819377687832,0.8195200868542731
44,4,in_sample,f3,63,0.6507936507936508,0.6496975806451613,0.648580121703854,0.6766284236360794
44,4,in_sample,f1_f2,63,0.5396825396825397,0.5408266129032258,0.537819377687832,0.8195814124471249
44,4,in_sample,f1_f3,63,0.6825396825396826,0.6814516129032258,0.6805273833671399,0.6773980358968739
44,4,in_sample,f2_f3,63,0.5873015873015873,0.5866935483870968,0.5863636363636364,0.7318232048964891
44,4,in_sample,f1_f2_f3,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.7432634741028507
44,4,inner_oof,f1,63,0.4603174603174603,0.46068548387096775,0.46018145161290325,0.696531683069868
44,4,inner_oof,f2,63,0.5396825396825397,0.5413306451612903,0.5354691075514875,0.6836701176113559
44,4,inner_oof,f3,63,0.6507936507936508,0.6496975806451613,0.648580121703854,0.6643924949349677
44,4,inner_oof,f1_f2,63,0.5555555555555556,0.5569556451612903,0.552738336713996,0.6907344964368997
44,4,inner_oof,f1_f3,63,0.6349206349206349,0.6345766129032258,0.6345523329129887,0.6671555254516842
44,4,inner_oof,f2_f3,63,0.6190476190476191,0.6184475806451613,0.6181818181818182,0.6580393278950478
44,4,inner_oof,f1_f2_f3,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.6614347615750426
44,5,in_sample,f1,62,0.4838709677419355,0.4838709677419355,0.4751322751322751,0.7640216897605716
44,5,in_sample,f2,62,0.5,0.5,0.49986989331251624,0.9178350933787627
44,5,in_sample,f3,62,0.5645161290322581,0.564516129032258,0.5634941329856584,0.7349057506537355
44,5,in_sample,f1_f2,62,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.9070524509216566
44,5,in_sample,f1_f3,62,0.5645161290322581,0.564516129032258,0.5616653574234092,0.7486269470936686
44,5,in_sample,f2_f3,62,0.5645161290322581,0.564516129032258,0.5644028103044496,0.8048914606086655
44,5,in_sample,f1_f2_f3,62,0.532258064516129,0.532258064516129,0.532136351808483,0.7989885369634812
44,5,inner_oof,f1,62,0.4838709677419355,0.4838709677419355,0.4789915966386554,0.7131877477514925
44,5,inner_oof,f2,62,0.5,0.5,0.49986989331251624,0.7026630352173933
44,5,inner_oof,f3,62,0.5645161290322581,0.564516129032258,0.5634941329856584,0.6684918220166665
44,5,inner_oof,f1_f2,62,0.46774193548387094,0.467741935483871,0.46760343481654953,0.7135686736415564
44,5,inner_oof,f1_f3,62,0.5645161290322581,0.564516129032258,0.5634941329856584,0.681142905663124
44,5,inner_oof,f2_f3,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.6728705153716577
44,5,inner_oof,f1_f2_f3,62,0.6129032258064516,0.6129032258064516,0.6125,0.6801908175316472
