outer_seed,outer_fold,inner_seed,selected_c,c,inner_oof_accuracy,inner_oof_balanced_accuracy,inner_oof_macro_f1,inner_fold_balanced_accuracy_mean,inner_fold_balanced_accuracy_std,inner_training_accuracy_mean
42,4,42004,0.03,1.0,0.5889328063241107,0.5890826146731658,0.5884119634588914,0.5890877016129032,0.01293819160876091,0.9406981677579638
42,4,42004,0.03,3.0,0.5691699604743083,0.5693038370203725,0.5687387598717648,0.5691784274193548,0.02694059098913432,0.9828805215481986
42,4,42004,0.03,10.0,0.5691699604743083,0.5692725909261342,0.5689275162959373,0.5691784274193548,0.0275805143631354,1.0
42,5,42005,0.3,0.001,0.5511811023622047,0.5515873015873016,0.5501770956316411,0.5520413306451613,0.03166557004948285,0.6456737393221273
42,5,42005,0.3,0.003,0.5393700787401575,0.5396825396825398,0.5387910297198728,0.5398185483870968,0.046964339940710316,0.6614356572058419
42,5,42005,0.3,0.01,0.547244094488189,0.5476190476190477,0.5463933535212362,0.5475050403225806,0.060456387965288565,0.7152245797740424
42,5,42005,0.3,0.03,0.5708661417322834,0.5712425595238095,0.5700597872505628,0.5711945564516129,0.04915692872595436,0.7663888123449987
42,5,42005,0.3,0.1,0.5708661417322834,0.5710565476190477,0.5706997875672575,0.5709425403225806,0.06114027636315532,0.830690272802425
42,5,42005,0.3,0.3,0.5826771653543307,0.5827752976190477,0.5826512896825397,0.5829133064516129,0.035494036071488405,0.8831978506475613
42,5,42005,0.3,1.0,0.5708661417322834,0.5710565476190477,0.5706997875672575,0.5709425403225806,0.05269548182523036,0.9396459079636263
42,5,42005,0.3,3.0,0.5748031496062992,0.5749007936507937,0.5747767857142858,0.5747227822580645,0.0667703246742129,0.9737668779278037
42,5,42005,0.3,10.0,0.5826771653543307,0.5825892857142857,0.5825736434108527,0.5825352822580645,0.0651332097896736,0.9986910994764397
43,1,43001,0.01,0.001,0.5793650793650794,0.5799055118110237,0.5776625347837085,0.5796370967741935,0.06387237630140115,0.6335508540855685
43,1,43001,0.01,0.003,0.5833333333333334,0.5837795275590552,0.582221520486303,0.5832913306451613,0.05291358556190049,0.6534061957494208
43,1,43001,0.01,0.01,0.5952380952380952,0.5955275590551181,0.5948297604035309,0.5955141129032258,0.0556455569664131,0.697064765933747
43,1,43001,0.01,0.03,0.5674603174603174,0.5677165354330709,0.5671263099834529,0.5679183467741935,0.05490848703269988,0.7592908838289578
43,1,43001,0.01,0.1,0.5753968253968254,0.5756535433070866,0.5750689464975178,0.5759828629032258,0.04348598979282628,0.8346819323723019
43,1,43001,0.01,0.3,0.5714285714285714,0.5714645669291338,0.5714285714285714,0.5718245967741935,0.05631418684335503,0.8902172689406732
43,1,43001,0.01,1.0,0.5634920634920635,0.5633385826771653,0.5632444696539989,0.5636340725806451,0.031156030128938663,0.9351634849535185
43,1,43001,0.01,3.0,0.5833333333333334,0.5832125984251968,0.5831692370705273,0.5835433467741935,0.04869305535735307,0.9814882211438762
43,1,43001,0.01,10.0,0.5833333333333334,0.5831496062992126,0.583011583011583,0.5835433467741935,0.0403548572935963,1.0
43,2,43002,1.0,0.001,0.5158730158730159,0.5163464566929133,0.5143741707209198,0.5162550403225806,0.041653877595244936,0.6203859974996594
43,2,43002,1.0,0.003,0.5277777777777778,0.5282204724409448,0.52651772321781,0.5279737903225806,0.050082142626045933,0.6574514003685336
43,2,43002,1.0,0.01,0.503968253968254,0.5042834645669292,0.503334752376898,0.5037802419354839,0.049638861469901735,0.6957488283356145
43,2,43002,1.0,0.03,0.5238095238095238,0.5239055118110236,0.5237795275590551,0.5235635080645161,0.05760006754064052,0.7725048436694574
43,2,43002,1.0,0.1,0.5476190476190477,0.5477165354330709,0.5475905511811023,0.5470010080645161,0.07031129561152946,0.8399868613614415
43,2,43002,1.0,0.3,0.5753968253968254,0.5753385826771653,0.5753366406803686,0.5744707661290323,0.058975902518396725,0.8954942024090959
43,2,43002,1.0,1.0,0.6031746031746031,0.6031496062992125,0.6031496062992125,0.6024445564516129,0.03829622590948649,0.9576713651741646
43,2,43002,1.0,3.0,0.5992063492063492,0.5990866141732283,0.5990485042297453,0.5985383064516129,0.025400758862123906,0.9854215918045706
43,2,43002,1.0,10.0,0.5833333333333334,0.5831496062992126,0.583011583011583,0.5826612903225806,0.029412920354864404,0.9986702127659575
43,3,43003,0.3,0.001,0.5375494071146245,0.537870266216723,0.5346413243408952,0.538054435483871,0.04102525351839644,0.6271043373413172
43,3,43003,0.3,0.003,0.5296442687747036,0.5299337582802149,0.5272513150663422,0.5298639112903225,0.037169602479683005,0.6600828350690572
43,3,43003,0.3,0.01,0.5375494071146245,0.5377452818397701,0.5365066938072498,0.5376764112903225,0.048954957434659545,0.7062126301792876
43,3,43003,0.3,0.03,0.5612648221343873,0.5613985751781028,0.5608257095941825,0.561491935483871,0.054601685247110184,0.7589007787065103
43,3,43003,0.3,0.1,0.5335968379446641,0.5337457817772778,0.5330058816168189,0.5338961693548387,0.07955983283195928,0.8168451961783457
43,3,43003,0.3,0.3,0.5770750988142292,0.5773028371453568,0.5757760957798568,0.577116935483871,0.04903036238023345,0.8682659236806385
43,3,43003,0.3,1.0,0.5533596837944664,0.5535558055243095,0.5523526188052924,0.5533014112903225,0.03840001439819703,0.9183016806122344
43,3,43003,0.3,3.0,0.5612648221343873,0.5613985751781028,0.5608257095941825,0.561617943548387,0.025569806992735956,0.9710728610356607
43,3,43003,0.3,10.0,0.5612648221343873,0.5613673290838646,0.5610179294389821,0.5619959677419355,0.03554767677924488,0.9973614592035644
43,4,43004,3.0,0.001,0.5533596837944664,0.5535558055243095,0.5523526188052924,0.5535534274193548,0.04880596694167224,0.6258163223649584
43,4,43004,3.0,0.003,0.549407114624506,0.5495875515560555,0.5485537190082646,0.5495211693548387,0.05077880065266186,0.6653877640581967
43,4,43004,3.0,0.01,0.5454545454545454,0.5455255593050868,0.5453408966605722,0.5456149193548387,0.04687319339795282,0.7128473452391888
