variant,seed,fold_a,fold_b,branch,side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
covariance_ledoit_wolf,43,2,3,erd,right,0.6457364802907817,0.43257535719044354,46.97536548694811,64.36888985013236
covariance_ledoit_wolf,43,2,4,bp,left,0.7512013726003538,0.7512013726003538,41.305448077567966,41.305448077567966
covariance_ledoit_wolf,43,2,4,bp,right,0.5486734926996115,0.5486734926996115,56.7239434588493,56.7239434588493
covariance_ledoit_wolf,43,2,4,erd,left,0.8677040311606788,0.6829818941637255,25.742505950279178,46.922899482324794
covariance_ledoit_wolf,43,2,4,erd,right,0.6570801863829886,0.3000517117369068,44.84668234145298,72.53929092410745
covariance_ledoit_wolf,43,2,5,bp,left,0.7721183677790117,0.7721183677790117,39.45550060103939,39.45550060103939
covariance_ledoit_wolf,43,2,5,bp,right,0.8244355704513338,0.8244355704513338,34.46869151076068,34.46869151076068
covariance_ledoit_wolf,43,2,5,erd,left,0.8737121747666251,0.7194178918785793,25.351212237429873,43.99355859467865
covariance_ledoit_wolf,43,2,5,erd,right,0.5256903533435117,0.10084172567870874,55.13728462318517,84.21235716696455
covariance_ledoit_wolf,43,3,4,bp,left,0.684397403653857,0.684397403653857,46.811765227435195,46.811765227435195
covariance_ledoit_wolf,43,3,4,bp,right,0.4955303886025522,0.4955303886025522,60.29526915641482,60.29526915641482
covariance_ledoit_wolf,43,3,4,erd,left,0.7260432781859332,0.3200298415005752,37.747737429816596,71.3352704185475
covariance_ledoit_wolf,43,3,4,erd,right,0.5049074754052864,0.06979911707254159,56.72438525569526,85.99755074734853
covariance_ledoit_wolf,43,3,5,bp,left,0.36916569059067833,0.36916569059067833,68.33582753417902,68.33582753417902
covariance_ledoit_wolf,43,3,5,bp,right,0.8043728821109988,0.8043728821109988,36.45026550800999,36.45026550800999
covariance_ledoit_wolf,43,3,5,erd,left,0.9271512055477912,0.8730416845888185,21.22102338504573,29.185949856072988
covariance_ledoit_wolf,43,3,5,erd,right,0.6319375430948173,0.306919508157495,48.775441549490836,72.12631654924215
covariance_ledoit_wolf,43,4,5,bp,left,0.7417551808999734,0.7417551808999734,42.118854545901144,42.118854545901144
covariance_ledoit_wolf,43,4,5,bp,right,0.6632139995138027,0.6632139995138027,48.45454624079939,48.45454624079939
covariance_ledoit_wolf,43,4,5,erd,left,0.7127778669746437,0.31289704886296166,38.310804972743306,71.7660928633544
covariance_ledoit_wolf,43,4,5,erd,right,0.47094682099180396,0.06306347199674592,58.03500623018402,86.38432991953911
covariance_ledoit_wolf,44,1,2,bp,left,0.8534921034002104,0.8534921034002104,31.40645400941142,31.40645400941142
covariance_ledoit_wolf,44,1,2,bp,right,0.44708929052347807,0.44708929052347807,63.44291135266444,63.44291135266444
covariance_ledoit_wolf,44,1,2,erd,left,0.6464173523983813,0.020388647081152806,40.17670113796145,88.83173562208042
covariance_ledoit_wolf,44,1,2,erd,right,0.6463397077143643,0.316333948693491,46.496222352621864,71.5586381488851
covariance_ledoit_wolf,44,1,3,bp,left,0.9302928864633176,0.9302928864633176,21.51948327128479,21.51948327128479
covariance_ledoit_wolf,44,1,3,bp,right,0.09287735426587303,0.09287735426587303,84.67083904143954,84.67083904143954
covariance_ledoit_wolf,44,1,3,erd,left,0.8998395395416221,0.7469249331761141,22.18979914499276,41.675296387938225
covariance_ledoit_wolf,44,1,3,erd,right,0.5892837494515378,0.044278352943345464,48.729054483876304,87.46220753707483
covariance_ledoit_wolf,44,1,4,bp,left,0.9128888265721944,0.9128888265721944,24.092330611220625,24.092330611220625
covariance_ledoit_wolf,44,1,4,bp,right,0.17688165093943237,0.17688165093943237,79.81182280059699,79.81182280059699
covariance_ledoit_wolf,44,1,4,erd,left,0.6667508377235656,0.061238338453464485,38.12393933278552,86.4891049382171
covariance_ledoit_wolf,44,1,4,erd,right,0.7311170306720759,0.4070813779218351,39.38814209918487,65.97837708941871
covariance_ledoit_wolf,44,1,5,bp,left,0.5419590848317519,0.5419590848317519,57.18289792189709,57.18289792189709
covariance_ledoit_wolf,44,1,5,bp,right,0.6281652269906449,0.6281652269906449,51.08511433806633,51.08511433806633
covariance_ledoit_wolf,44,1,5,erd,left,0.6988703649707344,0.2582839699375909,39.86565543574215,75.03173667634117
covariance_ledoit_wolf,44,1,5,erd,right,0.45856811520076235,0.046892168353749056,61.176604932255685,87.31229105721926
covariance_ledoit_wolf,44,2,3,bp,left,0.7684411780427225,0.7684411780427225,39.78588637202911,39.78588637202911
covariance_ledoit_wolf,44,2,3,bp,right,0.13878285438616703,0.13878285438616703,82.02257859642992,82.02257859642992
covariance_ledoit_wolf,44,2,3,erd,left,0.7687909503138601,0.3957372360544187,33.007676254973696,66.68803848103826
covariance_ledoit_wolf,44,2,3,erd,right,0.771699493131761,0.5518579320488932,37.2887485734504,56.505431530465195
covariance_ledoit_wolf,44,2,4,bp,left,0.7164866269893272,0.7164866269893272,44.234833517534724,44.234833517534724
covariance_ledoit_wolf,44,2,4,bp,right,0.19652755817048428,0.19652755817048428,78.66602687970716,78.66602687970716
covariance_ledoit_wolf,44,2,4,erd,left,0.7978580861453525,0.5697218184178352,34.17943175903083,55.269170415620806
covariance_ledoit_wolf,44,2,4,erd,right,0.7651270683319676,0.5806404190406885,37.91591288821537,54.50440108195477
covariance_ledoit_wolf,44,2,5,bp,left,0.5934654030985662,0.5934654030985662,53.59668868659996,53.59668868659996
covariance_ledoit_wolf,44,2,5,bp,right,0.3743758191685289,0.3743758191685289,68.01426009059902,68.01426009059902
covariance_ledoit_wolf,44,2,5,erd,left,0.822279727857037,0.6565387125637046,31.46349878062219,48.963573481072025
covariance_ledoit_wolf,44,2,5,erd,right,0.5372023464341507,0.18726143499013131,55.315953444966446,79.20699236902288
covariance_ledoit_wolf,44,3,4,bp,left,0.911633247247427,0.911633247247427,24.26796099544528,24.26796099544528
covariance_ledoit_wolf,44,3,4,bp,right,0.02459058347091925,0.02459058347091925,88.59092131611966,88.59092131611966
covariance_ledoit_wolf,44,3,4,erd,left,0.6883252627789318,0.10767823952418396,35.84530174056796,83.81850652481435
covariance_ledoit_wolf,44,3,4,erd,right,0.5402777656967347,0.06029867174896466,52.90336393100946,86.54304356123436
covariance_ledoit_wolf,44,3,5,bp,left,0.45421260067616465,0.45421260067616465,62.98571699049574,62.98571699049574
covariance_ledoit_wolf,44,3,5,bp,right,0.30757179361355236,0.30757179361355236,72.08704372757771,72.08704372757771
covariance_ledoit_wolf,44,3,5,erd,left,0.641857722413104,0.007279026946089013,40.516149458976855,89.5829387940271
covariance_ledoit_wolf,44,3,5,erd,right,0.5594396751434683,0.1705035178941398,52.624396467264035,80.18290406782695
covariance_ledoit_wolf,44,4,5,bp,left,0.34671817164825475,0.34671817164825475,69.71328531248844,69.71328531248844
covariance_ledoit_wolf,44,4,5,bp,right,0.6676643871076905,0.6676643871076905,48.11294398984646,48.11294398984646
covariance_ledoit_wolf,44,4,5,erd,left,0.9274509875574234,0.8475196496277113,20.33949100454629,32.057091035141426
