pipeline,representation,classifier,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,fit_seconds,accuracy,balanced_accuracy,macro_f1,confusion_matrix
terminal__logistic,terminal,logistic,44,4,253,63,252,0.83399209486166,0.009043833008036017,0.6507936507936508,0.6481854838709677,0.6398128898128898,"[[26, 6], [16, 15]]"
terminal__fisher,terminal,fisher,44,4,253,63,252,0.8023715415019763,0.006905082962475717,0.6507936507936508,0.6481854838709677,0.6398128898128898,"[[26, 6], [16, 15]]"
combined__logistic,combined,logistic,44,4,253,63,448,0.9723320158102767,0.023335042060352862,0.6825396825396826,0.6814516129032258,0.68052738336714,"[[24, 8], [12, 19]]"
combined__fisher,combined,fisher,44,4,253,63,448,0.8932806324110671,0.017312374897301197,0.6666666666666666,0.6658266129032258,0.6653174803946369,"[[23, 9], [12, 19]]"
fourier_pca__logistic,fourier_pca,logistic,44,4,253,63,20,0.6719367588932806,0.00045633292756974697,0.5238095238095238,0.5241935483870968,0.5236895161290323,"[[16, 16], [14, 17]]"
fourier_pca__fisher,fourier_pca,fisher,44,4,253,63,20,0.6679841897233202,0.0011562079889699817,0.5079365079365079,0.5080645161290323,0.5079365079365079,"[[16, 16], [15, 16]]"
current__logistic,current,logistic,44,5,254,62,196,0.9094488188976378,0.00844129198230803,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]"
current__fisher,current,fisher,44,5,254,62,196,0.8267716535433071,0.0052172079449519515,0.532258064516129,0.532258064516129,0.532136351808483,"[[16, 15], [14, 17]]"
terminal__logistic,terminal,logistic,44,5,254,62,252,0.8031496062992126,0.00879145902581513,0.7258064516129032,0.7258064516129032,0.7251629726205998,"[[21, 10], [7, 24]]"
terminal__fisher,terminal,fisher,44,5,254,62,252,0.7874015748031497,0.007186249946244061,0.7096774193548387,0.7096774193548387,0.709375,"[[21, 10], [8, 23]]"
combined__logistic,combined,logistic,44,5,254,62,448,0.952755905511811,0.022907334030605853,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
combined__fisher,combined,fisher,44,5,254,62,448,0.9015748031496063,0.017457042005844414,0.7096774193548387,0.7096774193548387,0.709375,"[[21, 10], [8, 23]]"
fourier_pca__logistic,fourier_pca,logistic,44,5,254,62,20,0.6614173228346457,0.0004899580962955952,0.5967741935483871,0.596774193548387,0.5941345902068604,"[[16, 15], [10, 21]]"
fourier_pca__fisher,fourier_pca,fisher,44,5,254,62,20,0.6653543307086615,0.0011985839810222387,0.5967741935483871,0.596774193548387,0.5941345902068604,"[[16, 15], [10, 21]]"
